Name,City,Country,IATA,Latitude,Longitude
General Edward Lawrence Logan International Airport,Boston,United States,BOS,42.36429977,-71.00520325
Metropolitan Oakland International Airport,Oakland,United States,OAK,37.721298,-122.221001
Eppley Airfield,Omaha,United States,OMA,41.3032,-95.894096
Phoenix Sky Harbor International Airport,Phoenix,United States,PHX,33.43429947,-112.012001
San Francisco International Airport,San Francisco,United States,SFO,37.61899948,-122.375
Memphis International Airport,Memphis,United States,MEM,35.04240036,-89.97669983
Los Angeles International Airport,Los Angeles,United States,LAX,33.94250107,-118.4079971
Cleveland Hopkins International Airport,Cleveland,United States,CLE,41.4117012,-81.84980011
Cincinnati Northern Kentucky International Airport,Cincinnati,United States,CVG,39.04880142,-84.6678009
Dallas Love Field,Dallas,United States,DAL,32.847099,-96.851799
Ronald Reagan Washington National Airport,Washington,United States,DCA,38.8521,-77.037697
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,FLL,26.072599,-80.152702
Salt Lake City International Airport,Salt Lake City,United States,SLC,40.78839874,-111.9779968
Pittsburgh International Airport,Pittsburgh,United States,PIT,40.49150085,-80.23290253
Miami International Airport,Miami,United States,MIA,25.79319954,-80.29060364
Seattle Tacoma International Airport,Seattle,United States,SEA,47.449001,-122.308998
Indianapolis International Airport,Indianapolis,United States,IND,39.7173,-86.294403
Richmond International Airport,Richmond,United States,RIC,37.50519943,-77.31970215
Norfolk International Airport,Norfolk,United States,ORF,36.89459991,-76.20120239
San Antonio International Airport,San Antonio,United States,SAT,29.53370094,-98.46980286
Raleigh Durham International Airport,Raleigh-durham,United States,RDU,35.87760162,-78.78749847
Detroit Metropolitan Wayne County Airport,Detroit,United States,DTW,42.21239853,-83.35340118
Tampa International Airport,Tampa,United States,TPA,27.97550011,-82.53320313
Austin Bergstrom International Airport,Austin,United States,AUS,30.19449997,-97.66989899
St Louis Lambert International Airport,St. Louis,United States,STL,38.748697,-90.370003
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL,33.6367,-84.428101
Nashville International Airport,Nashville,United States,BNA,36.12450027,-86.67819977
La Guardia Airport,New York,United States,LGA,40.77719879,-73.87259674
Jacksonville International Airport,Jacksonville,United States,JAX,30.49410057,-81.68789673
Washington Dulles International Airport,Washington,United States,IAD,38.94449997,-77.45580292
General Mitchell International Airport,Milwaukee,United States,MKE,42.94720078,-87.89659882
Portland International Airport,Portland,United States,PDX,45.58869934,-122.5979996
Palm Beach International Airport,West Palm Beach,United States,PBI,26.68320084,-80.09559631
Daniel K Inouye International Airport,Honolulu,United States,HNL,21.32062,-157.924228
San Diego International Airport,San Diego,United States,SAN,32.73360062,-117.1900024
Ontario International Airport,Ontario,United States,ONT,34.05599976,-117.6009979
Norman Y. Mineta San Jose International Airport,San Jose,United States,SJC,37.362598,-121.929001
Philadelphia International Airport,Philadelphia,United States,PHL,39.87189865,-75.2410965
John Glenn Columbus International Airport,Columbus,United States,CMH,39.998001,-82.891899
Southwest Florida International Airport,Fort Myers,United States,RSW,26.53619957,-81.75520325
John F Kennedy International Airport,New York,United States,JFK,40.63980103,-73.77890015
Charleston Air Force Base-International Airport,Charleston,United States,CHS,32.89860153,-80.04049683
Sacramento International Airport,Sacramento,United States,SMF,38.69540024,-121.5910034
Buffalo Niagara International Airport,Buffalo,United States,BUF,42.94049835,-78.73220062
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI,39.1754,-76.668297
Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP,44.882,-93.221802
Louis Armstrong New Orleans International Airport,New Orleans,United States,MSY,29.99340057,-90.25800323
Will Rogers World Airport,Oklahoma City,United States,OKC,35.39310074,-97.60070038
John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA,33.67570114,-117.8679962
McCarran International Airport,Las Vegas,United States,LAS,36.08010101,-115.1520004
Orlando International Airport,Orlando,United States,MCO,28.42939949,-81.30899811
Chicago O'Hare International Airport,Chicago,United States,ORD,41.9786,-87.9048
Chicago Midway International Airport,Chicago,United States,MDW,41.785999,-87.752403
George Bush Intercontinental Houston Airport,Houston,United States,IAH,29.9843998,-95.34140015
Denver International Airport,Denver,United States,DEN,39.86169815,-104.6729965
Dallas/Fort Worth International,Dallas,United States,DFW,32.8998,-97.0403
Charlotte Douglas International,Charlotte,United States,CLT,35.214,-80.9431
Newark Liberty International,Newark,United States,EWR,40.6895,-74.1745
William P. Hobby Airport,Houston,United States,HOU,29.6456,-95.2789
