,id,CarrierName,Origin,Destination,Departs,Arrives,Duration,Price
0,9596-2411141245--32385-0-13416-2411141443,Delta,ATL,LAX,11/14/2024 12:45,11/14/2024 14:43,298,648.48
1,9596-2411141950--32385-0-13416-2411142150,Delta,ATL,LAX,11/14/2024 19:50,11/14/2024 21:50,300,578.48
2,9596-2411141015--32385-0-13416-2411141221,Delta,ATL,LAX,11/14/2024 10:15,11/14/2024 12:21,306,648.48
3,9596-2411142050--32385-0-13416-2411142255,Delta,ATL,LAX,11/14/2024 20:50,11/14/2024 22:55,305,578.48
4,9596-2411140915--32385-0-13416-2411141110,Delta,ATL,LAX,11/14/2024 9:15,11/14/2024 11:10,295,698.48
5,9596-2411140725--32385-0-13416-2411140930,Delta,ATL,LAX,11/14/2024 7:25,11/14/2024 9:30,305,648.48
6,9596-2411140811--32385-1-13416-2411141359,Delta,ATL,LAX,11/14/2024 8:11,11/14/2024 13:59,528,796.35
7,9596-2411141010--32385-1-13416-2411141630,Delta,ATL,LAX,11/14/2024 10:10,11/14/2024 16:30,560,1036.35
0,9596-2411190725--32385-0-13416-2411190930,Delta,ATL,LAX,11/19/2024 7:25,11/19/2024 9:30,305,463.47
1,9596-2411192050--32385-0-13416-2411192255,Delta,ATL,LAX,11/19/2024 20:50,11/19/2024 22:55,305,463.47
2,9596-2411191245--32385-0-13416-2411191443,Delta,ATL,LAX,11/19/2024 12:45,11/19/2024 14:43,298,648.48
3,9596-2411191545--32385-0-13416-2411191742,Delta,ATL,LAX,11/19/2024 15:45,11/19/2024 17:42,297,578.48
4,9596-2411191115--32385-0-13416-2411191320,Delta,ATL,LAX,11/19/2024 11:15,11/19/2024 13:20,305,648.48
5,9596-2411191645--32385-0-13416-2411191840,Delta,ATL,LAX,11/19/2024 16:45,11/19/2024 18:40,295,578.48
6,9596-2411191015--32385-0-13416-2411191221,Delta,ATL,LAX,11/19/2024 10:15,11/19/2024 12:21,306,648.48
7,9596-2411191405--32385-0-13416-2411191605,Delta,ATL,LAX,11/19/2024 14:05,11/19/2024 16:05,300,648.48
8,9596-2411190915--32385-0-13416-2411191110,Delta,ATL,LAX,11/19/2024 9:15,11/19/2024 11:10,295,698.48
9,9596-2411191835--32385-0-13416-2411192038,Delta,ATL,LAX,11/19/2024 18:35,11/19/2024 20:38,303,578.48
0,9596-2411142101--32385-0-13411-2411142230,Delta,ATL,LAS,11/14/2024 21:01,11/14/2024 22:30,269,528.48
1,9596-2411141245--32385-1-13411-2411141728,Delta,ATL,LAS,11/14/2024 12:45,11/14/2024 17:28,463,826.36
2,9596-2411141215--32385-1-13411-2411141915,Delta,ATL,LAS,11/14/2024 12:15,11/14/2024 19:15,600,652.36
3,9596-2411140725--32385-1-13411-2411141254,Delta,ATL,LAS,11/14/2024 7:25,11/14/2024 12:54,509,826.36
4,9596-2411140705--32385-1-13411-2411141421,Delta,ATL,LAS,11/14/2024 7:05,11/14/2024 14:21,616,856.35
5,9596-2411141015--32385-1-13411-2411141728,Delta,ATL,LAS,11/14/2024 10:15,11/14/2024 17:28,613,826.36
6,9596-2411141538--32385-1-13411-2411142200,Delta,ATL,LAS,11/14/2024 15:38,11/14/2024 22:00,562,856.35
0,9596-2411191215--32385-0-13411-2411191343,Delta,ATL,LAS,11/19/2024 12:15,11/19/2024 13:43,268,528.48
